cell,x,y,stem
lymphocyte,12,31,0
lymphocyte,32,72,0
lymphocyte,35,49,0
tumor,36,46,0
tumor,36,47,0
lymphocyte,36,49,0
tumor,37,48,0
tumor,37,51,0
tumor,38,48,0
tumor,38,49,0
lymphocyte,38,50,0
tumor,38,51,0
tumor,38,52,0
lymphocyte,39,46,0
tumor,39,49,0
lymphocyte,39,52,0
tumor,39,53,0
lymphocyte,40,46,0
lymphocyte,40,47,0
tumor,40,48,0
lymphocyte,40,50,0
lymphocyte,40,51,0
lymphocyte,41,46,0
lymphocyte,41,47,0
lymphocyte,41,51,0
lymphocyte,41,52,0
tumor,42,49,0
tumor,42,50,0
tumor,42,52,0
lymphocyte,42,53,0
tumor,42,54,0
tumor,43,49,0
tumor,43,50,0
tumor,43,51,0
lymphocyte,43,52,0
lymphocyte,43,53,0
tumor,43,54,0
tumor,43,55,0
tumor,44,44,0
tumor,44,45,0
tumor,44,49,0
tumor,44,50,0
tumor,44,51,0
lymphocyte,44,52,0
tumor,44,53,0
lymphocyte,45,52,0
tumor,45,54,0
tumor,45,55,0
tumor,46,45,0
lymphocyte,46,48,0
lymphocyte,46,51,0
lymphocyte,46,52,0
tumor,46,53,0
tumor,47,44,0
tumor,47,47,0
lymphocyte,47,51,0
tumor,47,53,0
tumor,48,43,0
tumor,48,44,0
tumor,48,48,0
tumor,48,50,0
lymphocyte,48,52,0
tumor,49,47,0
tumor,49,48,0
lymphocyte,50,47,0
tumor,35,46,0
tumor,35,47,0
tumor,36,45,0
tumor,36,48,0
tumor,37,45,0
tumor,37,46,0
tumor,37,47,0
tumor,37,49,0
tumor,37,50,0
tumor,37,52,0
tumor,38,45,0
tumor,38,46,0
tumor,38,47,0
tumor,39,45,0
tumor,39,47,0
tumor,39,48,0
tumor,39,50,0
tumor,39,51,0
tumor,40,45,0
tumor,40,49,0
tumor,40,52,0
tumor,40,53,0
tumor,41,45,0
tumor,41,48,0
tumor,41,49,0
tumor,41,50,0
tumor,41,53,0
tumor,41,54,0
tumor,42,44,0
tumor,42,45,0
tumor,42,46,0
tumor,42,47,0
tumor,42,48,0
tumor,42,51,0
tumor,42,55,0
tumor,43,44,0
tumor,43,45,0
tumor,43,46,0
tumor,43,47,0
tumor,43,48,0
tumor,44,43,0
tumor,44,46,0
tumor,44,47,0
tumor,44,48,0
tumor,44,54,0
tumor,44,55,0
tumor,45,43,0
tumor,45,44,0
tumor,45,45,0
tumor,45,46,0
tumor,45,47,0
tumor,45,48,0
tumor,45,49,0
tumor,45,50,0
tumor,45,51,0
tumor,45,53,0
tumor,46,43,0
tumor,46,44,0
tumor,46,46,0
tumor,46,47,0
tumor,46,49,0
tumor,46,50,0
tumor,46,54,0
tumor,46,55,0
tumor,47,43,0
tumor,47,45,0
tumor,47,46,0
tumor,47,48,0
tumor,47,49,0
tumor,47,50,0
tumor,47,52,0
tumor,47,54,0
tumor,48,45,0
tumor,48,46,0
tumor,48,47,0
tumor,48,49,0
tumor,48,51,0
tumor,49,50,0
tumor,49,51,0
